Timestamp                       Thread     Type        Activity             PID    TTL  
2026-07-09 10:32:29.379292-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysWillReconfigure] | Ignoring displays will reconfigure because the transition is complete
2026-07-09 10:32:29.701638-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysDidReconfigure] | Ignoring displays did reconfigure because the transition is complete
2026-07-09 10:32:29.702269-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysDidReconfigure] | Ignoring displays did reconfigure because the transition is complete
2026-07-09 10:51:36.414081-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysWillReconfigure] | Ignoring displays will reconfigure because the transition is complete
2026-07-09 10:51:36.544276-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysDidReconfigure] | Ignoring displays did reconfigure because the transition is complete
2026-07-09 10:51:36.545273-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysDidReconfigure] | Ignoring displays did reconfigure because the transition is complete
2026-07-09 10:51:43.496835-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysWillReconfigure] | Ignoring displays will reconfigure because the transition is complete
2026-07-09 10:51:43.963590-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysDidReconfigure] | Ignoring displays did reconfigure because the transition is complete
2026-07-09 10:51:43.963592-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysDidReconfigure] | Ignoring displays did reconfigure because the transition is complete
2026-07-09 10:51:43.964207-0700 0x133a     Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:Standard] -[LoginTransition _displaysDidReconfigure] | Ignoring displays did reconfigure because the transition is complete
2026-07-09 10:57:21.481691-0700 0xfcd0ecc  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:57:21.507804-0700 0xfcd0ecc  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:57:21.507809-0700 0xfcd0ecc  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:57:28.849219-0700 0xfcd0ecd  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:57:28.857947-0700 0xfcd0ecd  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:57:28.857952-0700 0xfcd0ecd  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:58:46.800591-0700 0xfcd7baa  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:58:46.812798-0700 0xfcd7baa  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:58:46.812803-0700 0xfcd7baa  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:58:54.989822-0700 0xfcd0ecc  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:58:54.998281-0700 0xfcd0ecc  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 10:58:54.998286-0700 0xfcd0ecc  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:02:06.865829-0700 0xfcdd029  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:02:06.875523-0700 0xfcdd029  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:02:06.875526-0700 0xfcdd029  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:02:17.076142-0700 0xfcdd029  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:02:17.089058-0700 0xfcdd029  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:02:17.089063-0700 0xfcdd029  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:07:28.315684-0700 0xfcfb29b  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:07:28.326254-0700 0xfcfb29b  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:07:28.326258-0700 0xfcfb29b  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:07:34.684165-0700 0xfcfa2e9  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:07:34.696437-0700 0xfcfa2e9  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:07:34.696453-0700 0xfcfa2e9  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 11:12:11.247627-0700 0xfcfa2e9  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
